KW,S5,S11,S12,S13,S15
0.16,0.25,0.24,0.2,0.19,0.2
0.17,0.25,0.24,0.2,0.19,0.2
0.18,0.25,0.24,0.2,0.19,0.2
0.19,0.25,0.24,0.2,0.19,0.2
0.2,0.25,0.24,0.2,0.19,0.2
0.21,0.18,0.16,0.13,0.14,0.13
0.22,0.18,0.16,0.13,0.14,0.13
0.24,0.18,0.16,0.13,0.14,0.13
0.25,0.18,0.16,0.13,0.14,0.13
0.21,0.18,0.16,0.13,0.14,0.13
0.18,0.18,0.16,0.13,0.14,0.13
0.15,0.18,0.16,0.13,0.14,0.13
0.14,0.18,0.16,0.13,0.14,0.13
0.15,0.18,0.16,0.13,0.14,0.13
0.15,0.18,0.16,0.13,0.14,0.13
0.15,0.18,0.16,0.13,0.14,0.13
0.14,0.18,0.16,0.13,0.14,0.13
0.16,0.18,0.16,0.13,0.14,0.13
0.18,0.18,0.16,0.13,0.14,0.13
0.16,0.18,0.16,0.13,0.14,0.13
0.14,0.18,0.16,0.13,0.14,0.13
0.21,0.18,0.16,0.13,0.14,0.13
0.19,0.18,0.16,0.13,0.14,0.13
0.18,0.18,0.16,0.13,0.14,0.13
0.19,0.18,0.16,0.13,0.14,0.13
0.19,0.18,0.16,0.13,0.14,0.13
0.2,0.18,0.16,0.13,0.14,0.13
0.2,0.18,0.16,0.13,0.14,0.13
0.19,0.18,0.16,0.13,0.14,0.13
0.18,0.18,0.16,0.13,0.14,0.13
0.17,0.18,0.16,0.13,0.14,0.13
0.17,0.18,0.16,0.13,0.14,0.13
0.17,0.18,0.16,0.13,0.14,0.13
0.19,0.18,0.16,0.13,0.14,0.13
0.21,0.18,0.16,0.13,0.14,0.13
0.21,0.18,0.16,0.13,0.14,0.13
0.2,0.18,0.16,0.13,0.14,0.13
0.19,0.18,0.16,0.13,0.14,0.13
0.18,0.18,0.16,0.13,0.14,0.13
0.18,0.18,0.16,0.13,0.14,0.13
0.17,0.18,0.16,0.13,0.14,0.13
0.18,0.18,0.16,0.13,0.14,0.13
0.2,0.18,0.16,0.13,0.14,0.13
0.21,0.18,0.16,0.13,0.14,0.13
0.21,0.18,0.16,0.13,0.14,0.13
0.21,0.18,0.16,0.13,0.14,0.13
0.21,0.18,0.16,0.13,0.14,0.13
0.21,0.18,0.16,0.13,0.14,0.13
0.21,0.18,0.16,0.13,0.14,0.13
0.2,0.18,0.16,0.13,0.14,0.13
0.2,0.18,0.16,0.13,0.14,0.13
0.2,0.18,0.16,0.13,0.14,0.13
0.22,0.18,0.16,0.13,0.14,0.13
0.24,0.18,0.16,0.13,0.14,0.13
0.22,0.18,0.16,0.13,0.14,0.13
0.22,0.18,0.16,0.13,0.14,0.13
0.22,0.18,0.16,0.13,0.14,0.13
0.23,0.18,0.16,0.13,0.14,0.13
0.25,0.18,0.16,0.13,0.14,0.13
0.26,0.18,0.16,0.13,0.14,0.13
0.27,0.18,0.16,0.13,0.14,0.13
0.27,0.18,0.16,0.13,0.14,0.13
0.27,0.18,0.16,0.13,0.14,0.13
0.26,0.18,0.16,0.13,0.14,0.13
0.24,0.18,0.16,0.13,0.14,0.13
0.23,0.18,0.16,0.13,0.14,0.13
0.25,0.11,0.13,0.14,0.12,0.12
0.28,0.11,0.13,0.14,0.12,0.12
0.29,0.11,0.13,0.14,0.12,0.12
0.26,0.11,0.13,0.14,0.12,0.12
0.24,0.11,0.13,0.14,0.12,0.12
0.23,0.11,0.13,0.14,0.12,0.12
0.26,0.11,0.13,0.14,0.12,0.12
0.11,0.11,0.13,0.14,0.12,0.12
0.17,0.11,0.13,0.14,0.12,0.12
0.19,0.11,0.13,0.14,0.12,0.12
0.19,0.11,0.13,0.14,0.12,0.12
0.18,0.11,0.13,0.14,0.12,0.12
0.18,0.11,0.13,0.14,0.12,0.12
0.18,0.11,0.13,0.14,0.12,0.12
0.18,0.11,0.13,0.14,0.12,0.12
0.18,0.11,0.13,0.14,0.12,0.12
0.18,0.11,0.13,0.14,0.12,0.12
0.17,0.11,0.13,0.14,0.12,0.12
0.17,0.11,0.13,0.14,0.12,0.12
0.18,0.11,0.13,0.14,0.12,0.12
0.18,0.11,0.13,0.14,0.12,0.12
0.18,0.11,0.13,0.14,0.12,0.12
0.17,0.11,0.13,0.14,0.12,0.12
0.13,0.11,0.13,0.14,0.12,0.12
0.19,0.11,0.13,0.14,0.12,0.12
0.12,0.11,0.13,0.14,0.12,0.12
0.08,0.11,0.13,0.14,0.12,0.12
0.08,0.11,0.13,0.14,0.12,0.12
0.09,0.11,0.13,0.14,0.12,0.12
0.11,0.11,0.13,0.14,0.12,0.12
0.12,0.11,0.13,0.14,0.12,0.12
0.12,0.11,0.13,0.14,0.12,0.12
0.12,0.11,0.13,0.14,0.12,0.12
0.12,0.11,0.13,0.14,0.12,0.12
0.11,0.11,0.13,0.14,0.12,0.12
0.11,0.11,0.13,0.14,0.12,0.12
0.12,0.11,0.13,0.14,0.12,0.12
0.12,0.11,0.13,0.14,0.12,0.12
0.11,0.11,0.13,0.14,0.12,0.12
0.11,0.11,0.13,0.14,0.12,0.12
0.11,0.11,0.13,0.14,0.12,0.12
0.11,0.11,0.13,0.14,0.12,0.12
0.13,0.11,0.13,0.14,0.12,0.12
0.18,0.11,0.13,0.14,0.12,0.12
0.25,0.11,0.13,0.14,0.12,0.12
0.27,0.11,0.13,0.14,0.12,0.12
0.25,0.11,0.13,0.14,0.12,0.12
0.22,0.11,0.13,0.14,0.12,0.12
0.21,0.11,0.13,0.14,0.12,0.12
0.22,0.11,0.13,0.14,0.12,0.12
0.23,0.11,0.13,0.14,0.12,0.12
